AppealProcessID,ChildCourtID,ParentCourtID
1,2,1
2,3,1
3,106,1
4,106,2
5,106,3
6,107,106
7,108,106
8,109,106
9,109,2
10,5,4
11,110,111
12,110,5
13,111,4
14,111,5
15,6,-98
16,112,-98
17,113,-98
18,114,-98
19,8,7
20,115,117
21,116,117
22,117,7
23,117,8
24,118,8
25,10,9
26,119,9
27,119,10
28,120,119
29,12,11
30,121,12
31,14,13
32,122,125
33,123,13
34,123,14
35,124,14
36,125,14
37,125,13
38,126,122
39,126,125
40,127,13
41,16,15
42,128,129
43,129,16
44,129,15
45,130,132
46,131,17
47,132,135
48,133,135
49,133,17
50,134,132
51,135,17
52,136,18
53,20,19
54,137,19
55,137,20
56,138,137
57,22,21
58,139,22
59,140,146
60,141,22
61,142,146
62,143,146
63,144,146
64,144,21
65,144,22
66,145,22
67,146,22
68,146,21
69,147,23
70,25,24
71,148,25
72,149,25
73,150,26
74,151,150
75,29,28
76,152,28
77,152,29
78,31,30
79,32,30
80,153,31
81,153,30
82,154,157
83,154,153
84,155,31
85,155,30
86,156,157
87,156,153
88,157,31
89,157,30
90,158,157
91,158,153
92,34,33
93,159,33
94,36,35
95,160,35
96,160,36
97,161,160
98,38,37
99,162,37
100,162,38
101,163,162
102,164,37
103,164,38
104,40,39
105,165,167
106,166,40
107,166,39
108,167,166
109,167,40
110,168,167
111,168,165
112,169,40
113,170,167
114,171,41
115,171,173
116,172,41
117,173,41
118,43,42
119,174,42
120,174,43
121,175,174
122,176,43
123,45,44
124,177,45
125,178,45
126,179,45
127,180,45
128,181,45
129,182,45
130,183,44
131,183,45
132,47,46
133,184,47
134,185,47
135,186,184
136,187,184
137,188,184
138,49,48
139,189,49
140,51,50
141,190,50
142,191,50
143,192,191
144,192,50
145,193,190
146,193,192
147,193,191
148,194,190
149,194,192
150,194,191
151,53,52
152,195,52
153,195,53
154,196,195
155,197,198
156,198,54
157,199,198
158,200,198
159,201,54
160,202,54
161,56,55
162,203,204
163,204,56
164,205,56
165,206,56
166,58,57
167,207,57
168,208,207
169,209,207
170,210,211
171,211,59
172,61,60
173,212,213
174,213,60
175,213,61
176,214,61
177,63,62
178,215,216
179,216,63
180,217,216
181,218,216
182,219,216
183,65,64
184,66,64
185,220,222
186,220,66
187,221,66
188,222,65
189,223,65
190,224,66
191,225,65
192,225,66
193,226,65
194,227,65
195,228,65
196,229,66
197,68,67
198,230,231
199,231,67
200,231,68
201,70,69
202,232,69
203,233,232
204,71,-98
205,234,-98
206,73,72
207,235,73
208,236,73
209,237,73
210,238,239
211,238,235
212,239,73
213,76,75
214,240,75
215,240,74
216,241,240
217,242,74
218,243,75
220,78,77
221,245,77
222,245,78
223,246,245
224,247,245
225,248,245
226,249,77
227,80,79
228,81,79
229,250,79
230,250,80
231,250,81
232,251,250
233,252,250
234,83,82
235,253,83
236,254,258
237,254,84
238,255,84
239,256,259
240,256,254
241,256,258
242,257,258
243,258,84
244,259,254
245,260,84
246,260,258
247,86,85
248,261,86
249,262,85
250,262,86
251,263,261
252,264,261
253,265,261
254,266,87
255,267,266
256,89,88
257,90,88
258,268,89
259,269,89
260,269,90
261,270,90
262,271,269
263,271,270
264,272,269
265,273,270
266,274,89
267,93,91
268,93,92
269,275,93
270,276,93
271,277,93
273,278,277
275,278,276
276,278,275
277,279,277
278,280,93
279,279,276
280,279,275
281,280,93
282,95,94
283,281,94
284,281,95
285,282,281
286,283,95
287,284,96
288,97,-98
289,285,-98
290,99,98
291,286,98
292,286,99
293,287,286
294,101,100
295,288,290
296,289,290
297,290,100
298,290,101
299,291,102
300,292,291
301,293,291
302,293,292
303,294,291
304,104,103
305,295,104
306,296,295
307,297,298
308,298,105
309,299,298
310,27,26
311,300,119
