ChildCourtID,CourtName
1,Supreme Court
2,Court of Civil Appeals
3,Court of Criminal Appeals
106,Circuit
107,District
108,Municipal
109,Probate
4,Supreme Court
5,Court of Appeals
110,District
111,Superior
7,Supreme Court
8,Court of Appeal
115,Justice of the Peace
116,Municipal
117,Superior
118,Tax
9,Supreme Court
10,Court of Appeals
119,Circuit
120,District
11,Supreme Court
12,Court of Appeal
121,Superior
13,Supreme Court
14,Court of Appeals
122,County
123,Denver Juvenile
124,Denver Probate
125,District
126,Municipal
127,Water
15,Supreme Court
16,Appellate Court
128,Probate
129,Superior
17,Supreme Court
130,Aldermans
131,Court of Chancery
132,Court of Common Pleas
133,Family
134,Justice of the Peace
135,Superior
18,Court of Appeals
136,Superior
19,Supreme Court
20,District Court of Appeal
137,Circuit
138,County
21,Supreme Court
22,Court of Appeals
139,Civil
140,County Recorders
141,Juvenile
142,Magistrate
143,Municipal
144,Probate
145,State
146,Superior
24,Supreme Court
25,Intermediate Court of Appeals
148,Circuit
149,District
26,Supreme Court
27,Court of Appeals
150,District
151,Magistrates Division
28,Supreme Court
29,Appellate Court
152,Circuit
30,Supreme Court
31,Court of Appeals
32,Tax Court
153,Circuit
154,City
155,Probate
156,Small Claims of Marion County
157,Superior
158,Town
33,Supreme Court
34,Court of Appeals
159,District
35,Supreme Court
36,Court of Appeals
160,District
161,Municipal
37,Supreme Court
38,Court of Appeals
162,Circuit
163,District
164,Family
39,Supreme Court
40,Courts of Appel
165,City & Parish
166,District
167,Family
168,Justice of the Peace
169,Juvenile
170,Mayors
41,Supreme Judicial Court
171,District
172,Probate
173,Superior
42,Court of Appeals
43,Court of Special Appeals
174,Circuit
175,District
176,Orphans
44,Supreme Judicial Court
45,Appeals Court
177,Boston Municipal Court Dept
178,District Court Dept
179,Housing Court Dept
180,Juvenile Court Dept
181,Land Court Dept
182,Probate & Family Court Dept
183,Superior Court Dept
46,Supreme Court
47,Court of Appeals
184,Circuit
185,Court of Claims
186,District
187,Municipal
188,Probate
48,Supreme Court
49,Court of Appeals
189,District
50,Supreme Court
51,Court of Appeals
190,Chancery
191,Circuit
192,County
193,Justice
194,Municipal
52,Supreme Court
53,Court of Appeals
195,Circuit
54,Supreme Court
197,City
198,District
199,Justice's Court
200,Municipal
201,Water
202,Workers Compensation
55,Supreme Court
56,Court of Appeals
203,County
204,District
205,Separate Juvenile
206,Workers Compensation
57,Supreme Court
58,Court of Appeals
207,District
208,Justice
209,Municipal
59,Supreme Court
210,Circuit
211,Superior
60,Supreme Court
61,Appellate Division of Superior Court
212,Municipal
213,Superior
214,Tax
62,Supreme Court
63,Court of Appeals
215,Bernalillo County Metropolitan
216,District
217,Magistrate
218,Municipal
219,Probate
64,Court of Appeals
65,Appellate Division of Supreme Court
66,Appellate Terms of Supreme Court
220,City
221,Civil Ct. of the City of NY
222,County
223,Court of Claims
224,Criminal Ct of the City of NY
225,District
226,Family
227,Supreme
228,Surrogates
229,Town & Village Justice
67,Supreme Court
68,Court of Appeals
230,District
231,Superior
69,Supreme Court
70,Temporary Court of Appeals
232,District
233,Municipal
72,Supreme Court
73,Court of Appeals
235,County
236,Court of Claims
237,Court of Common Pleas
238,Mayors
239,Municipal
74,Court of Criminal Appeals
75,Supreme Court
76,Court of Civil Appeals
240,District
241,Municipal Court Not of Record
242,Municipal Criminal Court of Record
243,Tax Review
77,Supreme Court
78,Court of Appeals
245,Circuit
246,County
247,Justice
248,Municipal
249,Tax
79,Supreme Court
80,Commonwealth Court
81,Superior Court
250,Court of Common Pleas
251,Magisterial District Judge
252,Philadelphia Municipal
82,Supreme Court
83,Court of Appeals
253,Court of First Instance
84,Supreme Court
254,District
255,Family
256,Municipal
257,Probate
258,Superior
259,Traffic Tribunal
260,Workers Compensation
85,Supreme Court
86,Court of Appeals
261,Circuit
262,Family
263,Magistrate
264,Municipal
265,Probate
87,Supreme Court
266,Circuit
267,Magistrate
88,Supreme Court
89,Court of Appeals
90,Court of Criminal Appeals
268,Chancery
269,Circuit
270,Criminal
271,General Sessions
272,Juvenile
273,Municipal
274,Probate
91,Court of Criminal Appeals
92,Supreme Court
93,Court of Appeals
275,Constitutional County
276,County Court at Law
277,District
278,Justice
279,Municipal
280,Statutory Probate
94,Supreme Court
95,Court of Appeals
281,District
282,Justice
283,Juvenile
96,Supreme Court
284,Superior
98,Supreme Court
99,Court of Appeals
286,Circuit
287,District
100,Supreme Court
101,Court of Appeals
288,District
289,Municipal
290,Superior
102,Supreme Court of Appeals
291,Circuit
292,Family
293,Magistrate
294,Municipal
103,Supreme Court
104,Court of Appeals
295,Circuit
296,Municipal
105,Supreme Court
297,Circuit
298,District
299,Municipal
23,Supreme Court
147,Superior
300,City
