NeighborID,USStateID,NeighborUSStateID
1,1,26
2,1,45
3,1,11
4,1,10
5,2,-99
6,3,5
7,3,30
8,3,47
9,3,6
10,3,33
11,4,20
12,4,46
13,4,38
14,4,27
15,4,45
16,4,26
17,5,39
18,5,30
19,5,3
20,6,33
21,6,3
22,6,47
23,6,53
24,6,29
25,6,18
26,6,38
27,7,42
28,7,23
29,7,34
30,8,22
31,8,32
32,8,40
33,9,49
34,9,22
35,10,1
36,10,11
37,11,10
38,11,1
39,11,45
40,11,35
41,11,43
42,12,-99
43,13,-99
44,14,50
45,14,39
46,14,30
47,14,47
48,14,53
49,14,28
50,15,16
51,15,19
52,15,27
53,15,17
54,15,52
55,16,15
56,16,19
57,16,37
58,16,24
59,17,25
60,17,52
61,17,15
62,17,27
63,17,29
64,17,44
65,18,29
66,18,27
67,18,38
68,18,6
69,19,27
70,19,15
71,19,16
72,19,37
73,19,51
74,19,49
75,19,45
76,20,46
77,20,4
78,20,26
79,21,31
80,22,49
81,22,8
82,22,40
83,22,51
84,22,49
85,22,9
86,23,31
87,23,48
88,23,34
89,23,7
90,23,42
91,24,52
92,24,16
93,24,37
94,25,36
95,25,44
96,25,17
97,25,52
98,26,20
99,26,4
100,26,45
101,26,1
102,27,17
103,27,15
104,27,19
105,27,45
106,27,4
107,27,38
108,27,18
109,27,29
110,28,14
111,28,53
112,28,36
113,28,44
114,29,44
115,29,17
116,29,27
117,29,18
118,29,6
119,29,53
120,30,5
121,30,39
122,30,14
123,30,47
124,30,3
125,31,21
126,31,48
127,31,23
128,32,8
129,32,40
130,32,34
131,33,46
132,33,38
133,33,6
134,33,47
135,33,3
136,34,48
137,34,23
138,34,7
139,34,32
140,34,40
141,35,49
142,35,45
143,35,43
144,35,11
145,36,28
146,36,44
147,36,25
148,37,24
149,37,16
150,37,19
151,37,51
152,37,40
153,38,46
154,38,33
155,38,6
156,38,18
157,38,27
158,38,4
159,39,50
160,39,14
161,39,30
162,39,5
163,40,34
164,40,32
165,40,8
166,40,22
167,40,51
168,40,37
169,41,-99
170,42,7
171,42,23
172,43,35
173,43,11
174,44,36
175,44,25
176,44,17
177,44,29
178,44,53
179,44,28
180,45,19
181,45,49
182,45,35
183,45,11
184,45,1
185,45,26
186,45,4
187,45,27
188,46,33
189,46,38
190,46,4
191,46,20
192,47,14
193,47,53
194,47,6
195,47,3
196,47,33
197,47,30
198,48,34
199,48,31
200,48,23
201,49,22
202,49,9
203,49,35
204,49,45
205,49,19
206,49,51
207,50,39
208,50,14
209,51,37
210,51,40
211,51,22
212,51,49
213,51,19
214,52,25
215,52,17
216,52,15
217,52,24
218,53,28
219,53,44
220,53,29
221,53,6
222,53,47
223,53,14
