USStateCourtID,CourtID,USStateID
1,1,1
2,2,1
3,3,1
4,106,1
5,107,1
6,108,1
7,109,1
8,4,2
9,5,2
10,110,2
11,111,2
12,7,3
13,8,3
14,115,3
15,116,3
16,117,3
17,118,3
18,9,4
19,10,4
20,119,4
21,120,4
22,11,5
23,12,5
24,121,5
25,13,6
26,14,6
27,122,6
28,123,6
29,124,6
30,125,6
31,126,6
32,127,6
33,15,7
34,16,7
35,128,7
36,129,7
37,17,8
38,130,8
39,131,8
40,132,8
41,133,8
42,134,8
43,135,8
44,18,9
45,136,9
46,19,10
47,20,10
48,137,10
49,138,10
50,21,11
51,22,11
52,139,11
53,140,11
54,141,11
55,142,11
56,143,11
57,144,11
58,145,11
59,146,11
60,23,12
61,147,12
62,24,13
63,25,13
64,148,13
65,149,13
66,26,14
67,27,14
68,150,14
69,151,14
70,28,15
71,29,15
72,152,15
73,30,16
74,31,16
75,32,16
76,153,16
77,154,16
78,155,16
79,156,16
80,157,16
81,158,16
82,33,17
83,34,17
84,159,17
85,35,18
86,36,18
87,160,18
88,161,18
89,37,19
90,38,19
91,162,19
92,163,19
93,164,19
94,39,20
95,40,20
96,165,20
97,166,20
98,167,20
99,168,20
100,169,20
101,170,20
102,41,21
103,171,21
104,172,21
105,173,21
106,42,22
107,43,22
108,174,22
109,175,22
110,176,22
111,44,23
112,45,23
113,177,23
114,178,23
115,179,23
116,180,23
117,181,23
118,182,23
119,183,23
120,46,24
121,47,24
122,184,24
123,185,24
124,186,24
125,187,24
126,188,24
127,48,25
128,49,25
129,189,25
130,50,26
131,51,26
132,190,26
133,191,26
134,192,26
135,193,26
136,194,26
137,52,27
138,53,27
139,195,27
140,54,28
141,197,28
142,198,28
143,199,28
144,200,28
145,201,28
146,202,28
147,55,29
148,56,29
149,203,29
150,204,29
151,205,29
152,206,29
153,57,30
154,58,30
155,207,30
156,208,30
157,209,30
158,59,31
159,210,31
160,211,31
161,60,32
162,61,32
163,212,32
164,213,32
165,214,32
166,62,33
167,63,33
168,215,33
169,216,33
170,217,33
171,218,33
172,219,33
173,64,34
174,65,34
175,66,34
176,220,34
177,221,34
178,222,34
179,223,34
180,224,34
181,225,34
182,226,34
183,227,34
184,228,34
185,229,34
186,67,35
187,68,35
188,230,35
189,231,35
190,69,36
191,70,36
192,232,36
193,233,36
194,72,37
195,73,37
196,235,37
197,236,37
198,237,37
199,238,37
200,239,37
201,74,38
202,75,38
203,76,38
204,240,38
205,241,38
206,242,38
207,243,38
208,244,38
209,77,39
210,78,39
211,245,39
212,246,39
213,247,39
214,248,39
215,249,39
216,79,40
217,80,40
218,81,40
219,250,40
220,251,40
221,252,40
222,82,41
223,83,41
224,253,41
225,84,42
226,254,42
227,255,42
228,256,42
229,257,42
230,258,42
231,259,42
232,260,42
233,85,43
234,86,43
235,261,43
236,262,43
237,263,43
238,264,43
239,265,43
240,87,44
241,266,44
242,267,44
243,88,45
244,89,45
245,90,45
246,268,45
247,269,45
248,270,45
249,271,45
250,272,45
251,273,45
252,274,45
253,91,46
254,92,46
255,93,46
256,275,46
257,276,46
258,277,46
259,278,46
260,279,46
261,280,46
262,94,47
263,95,47
264,281,47
265,282,47
266,283,47
267,96,48
268,284,48
269,98,49
270,99,49
271,286,49
272,287,49
273,100,50
274,101,50
275,288,50
276,289,50
277,290,50
278,102,51
279,291,51
280,292,51
281,293,51
282,294,51
283,103,52
284,104,52
285,295,52
286,296,52
287,105,53
288,297,53
289,298,53
290,299,53
